#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
276 1104 233.411 1.290 2.159 0.476 0.588
277 1108 234.372 1.162 2.199 0.712 0.461
278 1112 235.590 1.274 1.960 0.631 0.720
279 1116 236.668 1.114 1.984 0.824 0.807
280 1120 237.817 0.930 1.929 0.787 0.847
281 1124 238.669 0.890 2.141 0.765 0.678
282 1128 239.557 0.852 2.199 0.877 0.705
283 1132 240.165 0.801 1.836 0.854 0.522
284 1136 240.683 0.824 1.727 0.633 0.581
285 1140 241.263 0.924 1.748 0.532 0.581
286 1144 241.909 0.974 1.903 0.468 0.682
287 1148 242.464 0.977 1.805 0.602 0.472
288 1152 243.011 0.985 2.035 0.402 0.579
289 1156 243.540 0.955 1.754 0.517 0.486
290 1160 244.391 1.094 1.934 0.365 0.629
291 1164 245.374 1.014 1.850 0.584 0.577
292 1168 246.158 1.031 2.107 0.556 0.772
293 1172 247.549 0.938 2.353 0.728 0.854
294 1176 248.218 0.827 2.616 1.099 0.706
295 1180 249.588 0.812 2.504 0.820 0.570
296 1184 250.536 0.820 1.933 0.552 0.508
297 1188 251.515 0.964 1.912 0.417 0.906
298 1192 252.094 1.053 2.121 0.724 0.782
299 1196 252.665 0.820 2.051 1.042 0.514
300 1200 253.199 0.712 1.958 0.817 0.664
301 1204 253.967 0.738 1.729 0.690 0.651
302 1208 254.860 0.840 1.772 0.581 0.693
303 1212 255.699 0.885 1.784 0.659 0.609
304 1216 256.502 0.866 1.902 0.610 0.669
305 1220 257.396 0.930 1.883 0.642 0.632
306 1224 258.292 0.883 1.959 0.704 0.606
307 1228 259.341 0.829 1.800 0.657 0.559
308 1232 260.780 0.870 1.865 0.532 0.634
309 1236 261.833 0.886 1.758 0.577 0.524
310 1240 263.066 0.947 1.858 0.470 0.676
311 1244 264.151 0.873 1.823 0.597 0.663
312 1248 264.783 0.878 1.950 0.614 0.639
313 1252 265.794 0.759 1.926 0.709 0.674
314 1256 266.545 0.838 1.955 0.631 0.733
315 1260 267.556 0.882 2.059 0.708 0.686
316 1264 268.754 0.776 2.092 0.810 0.595
317 1268 269.414 0.719 1.840 0.696 0.669
318 1272 269.955 0.830 1.902 0.579 0.681
319 1276 271.099 0.836 1.895 0.598 0.633
320 1280 272.903 0.820 1.909 0.640 0.701
321 1284 274.035 0.788 1.918 0.752 0.670
322 1288 274.844 0.699 1.916 0.768 0.685
323 1292 275.719 0.760 1.792 0.626 0.686
324 1296 276.791 0.823 1.958 0.602 0.708
325 1300 277.965 0.784 1.973 0.754 0.576
326 1304 278.759 0.725 1.803 0.687 0.733
327 1308 279.333 0.766 2.034 0.657 0.671
328 1312 279.963 0.792 1.891 0.649 0.675
329 1316 280.577 0.818 1.892 0.683 0.638
330 1320 281.458 0.734 1.829 0.719 0.607
331 1324 282.736 0.844 1.735 0.620 0.685
332 1328 283.753 0.804 1.821 0.621 0.689
333 1332 284.406 0.862 1.997 0.635 0.698
334 1336 285.390 0.747 1.726 0.749 0.572
335 1340 286.148 0.765 1.745 0.635 0.687
336 1344 286.798 0.846 1.954 0.605 0.715
337 1348 287.271 0.744 1.789 0.826 0.608
338 1352 287.933 0.720 1.939 0.711 0.720
339 1356 288.588 0.773 1.814 0.663 0.688
340 1360 289.697 0.823 1.890 0.643 0.582
341 1364 290.746 0.820 1.791 0.568 0.643
342 1368 291.707 0.796 1.920 0.647 0.716
343 1372 292.495 0.847 1.921 0.648 0.659
344 1376 293.378 0.804 1.847 0.704 0.658
345 1380 293.982 0.832 2.099 0.699 0.669
346 1384 295.112 0.693 2.030 0.777 0.573
347 1388 296.471 0.868 1.952 0.572 0.806
348 1392 297.805 0.853 1.991 0.705 0.535
349 1396 299.350 0.876 1.883 0.598 0.614
350 1400 300.602 0.912 1.828 0.520 0.686
351 1404 301.335 0.991 2.032 0.569 0.772
352 1408 302.398 0.765 2.025 0.869 0.546
353 1412 303.608 0.727 1.977 0.652 0.709
354 1416 304.086 0.769 1.925 0.662 0.675
355 1420 304.674 0.819 1.831 0.657 0.590
356 1424 305.463 0.795 1.836 0.611 0.651
357 1428 306.177 0.891 1.966 0.583 0.685
358 1432 307.025 0.741 1.929 0.733 0.560
359 1436 307.803 0.783 1.913 0.612 0.755
360 1440 308.696 0.753 1.975 0.706 0.680
361 1444 309.679 0.875 1.959 0.620 0.762
362 1448 310.772 0.724 1.805 0.772 0.487
363 1452 311.507 0.781 1.821 0.580 0.719
364 1456 312.226 0.991 1.996 0.522 0.671
365 1460 312.924 0.888 1.930 0.741 0.623
366 1464 313.581 0.738 1.974 0.728 0.597
367 1468 314.221 0.895 1.903 0.529 0.804
368 1472 314.985 0.816 1.888 0.834 0.625
