#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
25666 102664 21935.979 10.087 1.977 0.007 0.000
25667 102668 21936.477 3.620 2.057 0.020 0.049
25668 102672 21937.032 12.524 1.951 0.008 0.000
25669 102676 21937.717 12.763 1.840 0.024 0.000
25670 102680 21938.218 12.614 1.902 0.014 0.000
25671 102684 21938.959 12.263 1.865 0.004 0.000
25672 102688 21939.888 12.119 1.886 0.009 0.000
25673 102692 21940.981 11.768 1.868 0.008 0.000
25674 102696 21942.102 11.442 1.868 0.004 0.000
25675 102700 21943.073 11.318 1.897 0.003 0.000
25676 102704 21944.161 11.064 1.975 0.003 0.000
25677 102708 21945.148 11.149 1.853 0.003 0.000
25678 102712 21945.742 10.787 1.866 0.002 0.000
25679 102716 21946.387 10.286 1.839 0.006 0.000
25680 102720 21947.051 10.098 2.002 0.003 0.000
25681 102724 21948.112 9.328 1.806 0.004 0.000
25682 102728 21949.268 8.530 1.839 0.001 0.001
25683 102732 21950.692 7.062 1.868 0.003 0.002
25684 102736 21952.316 5.297 1.894 0.003 0.010
25685 102740 21953.741 4.292 1.916 0.007 0.029
25686 102744 21954.810 4.681 1.870 0.004 0.017
25687 102748 21955.715 5.279 1.821 0.006 0.009
25688 102752 21956.642 4.862 1.887 0.005 0.012
25689 102756 21957.608 4.401 1.819 0.004 0.430
25690 102760 21958.376 4.547 1.898 0.064 0.076
25691 102764 21959.068 3.460 1.838 0.458 0.027
25692 102768 21959.582 2.989 1.846 0.217 0.006
25693 102772 21960.412 5.011 2.088 0.002 0.008
25694 102776 21961.259 7.738 1.884 0.002 0.996
25695 102780 21962.108 3.397 2.025 2.091 0.009
25696 102784 21963.019 4.013 1.934 0.014 0.078
25697 102788 21964.071 3.557 1.939 0.171 0.365
25698 102792 21965.063 1.522 1.884 1.087 0.148
25699 102796 21965.767 4.721 1.852 0.002 1.311
25700 102800 21966.453 5.173 1.955 0.102 0.042
25701 102804 21967.251 1.068 1.850 1.756 0.030
25702 102808 21968.094 2.007 1.907 0.080 0.377
25703 102812 21968.641 4.068 1.893 0.010 1.029
25704 102816 21969.413 2.648 1.812 0.767 0.055
25705 102820 21970.061 2.706 1.861 0.080 0.929
25706 102824 21970.626 2.813 1.828 0.430 0.093
25707 102828 21971.319 2.403 1.864 0.156 0.170
25708 102832 21971.828 3.740 1.885 0.064 0.131
25709 102836 21972.389 4.451 1.840 0.012 0.027
25710 102840 21973.026 4.572 1.815 0.045 0.021
25711 102844 21974.043 3.675 1.801 0.025 0.304
25712 102848 21975.212 5.684 1.714 0.114 0.007
25713 102852 21976.295 4.582 1.951 0.086 0.017
25714 102856 21977.319 3.465 1.815 0.018 0.058
25715 102860 21978.370 7.026 1.810 0.006 0.002
25716 102864 21979.330 3.983 1.900 0.114 0.407
25717 102868 21980.363 4.688 1.892 0.047 0.029
25718 102872 21981.386 7.885 1.790 0.161 0.001
25719 102876 21982.006 3.347 1.938 0.033 0.270
25720 102880 21982.601 5.818 1.829 0.120 0.005
25721 102884 21983.174 5.152 1.832 0.043 0.007
25722 102888 21983.818 7.106 1.898 0.017 0.001
25723 102892 21984.563 3.698 1.857 0.018 0.050
25724 102896 21985.569 4.591 1.881 0.024 0.018
25725 102900 21986.335 8.660 1.819 0.016 0.000
25726 102904 21987.381 3.473 1.831 0.020 0.130
25727 102908 21988.450 9.974 1.893 0.005 0.000
25728 102912 21989.250 8.615 1.890 0.036 0.000
25729 102916 21990.106 5.381 2.000 0.025 0.007
25730 102920 21990.828 4.334 1.985 0.013 0.018
25731 102924 21991.404 3.416 2.049 0.023 0.142
25732 102928 21992.304 5.275 1.940 0.019 0.010
25733 102932 21992.847 3.573 1.859 0.013 0.063
25734 102936 21993.702 5.174 1.891 0.024 0.009
25735 102940 21994.746 6.437 2.039 0.060 0.002
25736 102944 21995.645 3.705 1.878 0.007 0.046
25737 102948 21996.533 7.740 1.954 0.017 0.001
25738 102952 21997.339 3.604 1.972 0.015 0.066
25739 102956 21998.073 5.118 1.881 0.012 0.010
25740 102960 21998.975 3.996 1.960 0.010 0.040
25741 102964 21999.940 7.806 1.957 0.019 0.001
25742 102968 22000.875 3.651 1.972 0.030 0.056
25743 102972 22001.619 6.971 1.959 0.016 0.002
25744 102976 22002.375 4.483 1.842 0.032 0.014
25745 102980 22003.298 8.633 1.936 0.020 0.000
25746 102984 22004.238 3.243 1.964 0.012 0.120
25747 102988 22005.006 9.383 1.827 0.018 0.000
25748 102992 22005.688 8.123 1.916 0.013 0.001
25749 102996 22006.257 5.491 1.971 0.008 0.006
25750 103000 22007.191 5.923 2.001 0.018 0.004
25751 103004 22008.072 3.572 1.816 0.020 0.041
25752 103008 22009.083 3.573 1.887 0.011 0.059
25753 103012 22010.044 4.557 1.872 0.013 0.250
25754 103016 22011.236 7.207 1.879 0.153 0.001
25755 103020 22012.505 4.551 1.924 0.082 0.009
25756 103024 22013.426 7.807 1.834 0.016 0.001
25757 103028 22014.164 3.043 1.905 0.064 0.055
25758 103032 22015.098 6.602 1.931 0.010 0.002
25759 103036 22016.266 9.964 1.875 0.031 0.000
25760 103040 22017.265 8.024 1.913 0.022 0.001
25761 103044 22018.330 4.693 1.891 0.006 0.012
25762 103048 22019.326 4.324 1.799 0.002 0.192
25763 103052 22020.183 4.467 1.858 0.129 0.009
25764 103056 22021.245 6.156 1.814 0.005 0.004
25765 103060 22022.221 4.350 1.897 0.020 0.021
25766 103064 22023.193 9.786 1.878 0.034 0.000
25767 103068 22024.388 4.178 1.793 0.005 0.139
25768 103072 22025.126 11.299 1.797 0.010 0.000
25769 103076 22025.677 10.611 1.873 0.014 0.000
25770 103080 22026.264 8.601 1.873 0.010 0.000
25771 103084 22026.964 7.043 1.852 0.031 0.001
25772 103088 22027.602 4.805 1.909 0.022 0.012
25773 103092 22028.371 3.416 1.841 0.005 0.078
25774 103096 22029.323 3.852 1.823 0.006 0.049
25775 103100 22030.108 6.001 1.954 0.018 0.004
25776 103104 22031.489 8.293 1.804 0.034 0.000
25777 103108 22032.548 4.328 1.856 0.029 0.018
25778 103112 22033.454 9.561 1.767 0.006 0.000
25779 103116 22034.759 6.344 1.868 0.007 0.365
25780 103120 22035.444 10.252 1.802 0.326 0.000
25781 103124 22036.600 4.338 1.913 0.061 0.019
25782 103128 22037.544 9.097 1.947 0.024 0.000
25783 103132 22038.115 5.804 1.861 0.020 0.003
25784 103136 22039.040 5.233 1.876 0.005 0.007
25785 103140 22039.971 4.920 1.803 0.003 0.323
25786 103144 22041.246 5.807 1.851 0.049 0.011
25787 103148 22042.298 7.767 1.977 0.796 0.001
25788 103152 22043.320 2.116 1.960 0.675 0.004
25789 103156 22044.255 4.495 1.836 0.010 0.787
25790 103160 22045.174 0.480 1.762 0.972 0.156
25791 103164 22045.806 5.050 1.886 0.167 1.420
25792 103168 22046.379 1.333 1.862 1.967 0.187
25793 103172 22047.102 8.189 1.760 0.015 1.564
25794 103176 22047.736 3.162 1.740 3.079 0.002
25795 103180 22048.431 2.988 1.814 0.054 0.112
25796 103184 22049.236 4.015 1.737 0.031 1.130
25797 103188 22050.064 1.823 1.967 1.217 0.064
25798 103192 22050.873 2.406 1.786 0.153 0.447
25799 103196 22051.515 4.763 1.755 0.213 1.241
25800 103200 22052.173 1.544 1.798 2.150 0.025
25801 103204 22053.050 4.415 1.858 0.016 0.766
25802 103208 22054.187 3.571 1.886 0.376 0.101
25803 103212 22055.314 3.613 1.877 0.104 0.403
25804 103216 22056.221 3.596 1.891 0.122 0.267
25805 103220 22057.151 1.900 1.963 0.589 0.120
25806 103224 22058.055 2.687 2.015 0.219 0.291
25807 103228 22059.086 4.209 1.954 0.038 0.052
25808 103232 22060.240 3.840 1.940 0.058 0.341
25809 103236 22061.293 3.630 1.854 0.206 0.367
25810 103240 22062.297 1.164 1.814 0.823 0.115
25811 103244 22063.083 7.128 1.690 0.020 1.075
25812 103248 22063.901 5.221 1.931 0.413 0.010
25813 103252 22065.000 3.962 1.926 0.126 0.017
25814 103256 22065.907 4.664 2.070 0.046 0.021
25815 103260 22066.815 3.778 1.914 0.012 0.084
25816 103264 22067.463 4.180 1.903 0.006 0.040
25817 103268 22068.188 4.816 2.082 0.018 0.018
25818 103272 22068.773 3.784 1.982 0.013 0.162
25819 103276 22069.253 4.858 1.929 0.024 0.020
25820 103280 22070.130 4.554 2.005 0.029 0.201
25821 103284 22071.277 4.697 1.977 0.093 0.026
25822 103288 22072.330 4.570 1.844 0.051 0.024
25823 103292 22073.297 4.941 2.033 0.051 0.011
25824 103296 22074.210 3.691 1.940 0.051 0.092
25825 103300 22075.265 4.253 2.013 0.035 0.043
25826 103304 22076.184 7.806 1.838 0.009 0.001
25827 103308 22077.211 8.187 1.829 0.011 0.877
25828 103312 22077.970 4.786 1.883 2.111 0.003
25829 103316 22079.056 2.740 1.939 0.338 0.016
25830 103320 22080.061 3.247 1.997 0.026 0.754
25831 103324 22080.972 3.257 1.777 0.224 0.194
25832 103328 22081.858 2.526 1.977 0.272 0.113
25833 103332 22082.799 3.845 1.867 0.070 0.362
25834 103336 22083.366 4.828 1.887 0.061 0.173
25835 103340 22083.972 3.410 1.874 0.295 0.133
25836 103344 22084.517 5.083 1.891 0.176 0.011
25837 103348 22085.027 4.076 1.920 0.035 0.326
25838 103352 22085.569 4.765 1.960 0.047 0.026
25839 103356 22086.244 5.095 1.914 0.020 0.034
25840 103360 22086.950 4.561 2.062 0.064 0.026
25841 103364 22087.601 5.256 1.902 0.019 0.137
25842 103368 22088.346 9.211 1.797 0.043 0.000
25843 103372 22089.104 4.708 1.762 0.030 0.186
25844 103376 22089.816 9.005 1.859 0.170 0.000
25845 103380 22090.502 3.555 1.921 0.019 0.050
25846 103384 22091.336 4.477 1.903 0.017 0.019
25847 103388 22092.286 3.633 2.028 0.020 0.195
25848 103392 22092.985 12.742 1.880 0.010 0.000
25849 103396 22093.854 12.820 2.032 0.036 0.000
25850 103400 22094.749 12.717 1.910 0.039 0.000
25851 103404 22095.638 12.600 1.864 0.011 0.000
25852 103408 22096.353 12.452 1.882 0.020 0.000
25853 103412 22096.791 12.224 1.928 0.008 0.000
25854 103416 22097.311 11.931 1.861 0.007 0.000
25855 103420 22097.989 11.631 1.891 0.009 0.000
25856 103424 22098.693 11.211 1.952 0.010 0.000
25857 103428 22099.322 11.146 1.800 0.005 0.000
25858 103432 22099.815 10.293 1.850 0.004 0.000
25859 103436 22100.447 10.179 1.875 0.005 0.000
25860 103440 22101.318 9.834 1.831 0.001 0.000
25861 103444 22102.366 9.676 1.780 0.002 0.000
25862 103448 22103.420 9.197 1.834 0.002 0.000
25863 103452 22104.313 9.031 1.771 0.002 0.000
25864 103456 22105.168 8.596 1.923 0.002 0.000
25865 103460 22106.220 9.135 1.929 0.004 0.000
25866 103464 22107.393 8.886 1.752 0.002 0.000
25867 103468 22108.457 8.205 1.808 0.003 0.001
25868 103472 22109.259 8.173 1.856 0.003 0.001
25869 103476 22109.827 8.286 1.883 0.002 0.001
25870 103480 22110.334 7.837 1.817 0.003 0.001
25871 103484 22110.725 7.787 1.875 0.002 0.001
25872 103488 22111.236 6.925 1.920 0.002 0.003
25873 103492 22111.939 4.075 2.039 0.002 0.188
25874 103496 22112.991 6.762 1.862 0.005 0.005
25875 103500 22114.046 11.599 1.969 0.025 0.000
25876 103504 22114.902 11.640 1.853 0.004 0.000
25877 103508 22115.867 11.383 1.940 0.007 0.000
25878 103512 22116.817 11.153 1.849 0.009 0.000
25879 103516 22117.751 10.794 1.809 0.006 0.000
25880 103520 22118.655 10.718 1.857 0.007 0.000
25881 103524 22119.389 10.614 1.883 0.004 0.000
25882 103528 22120.311 10.277 1.811 0.013 0.000
25883 103532 22121.423 10.311 1.861 0.004 0.000
25884 103536 22122.098 10.085 1.830 0.003 0.000
25885 103540 22123.056 10.000 1.826 0.002 0.000
25886 103544 22123.773 9.833 1.888 0.002 0.000
25887 103548 22124.577 9.636 1.897 0.002 0.000
25888 103552 22126.114 9.337 1.962 0.004 0.000
25889 103556 22126.854 9.118 1.935 0.003 0.001
25890 103560 22127.732 8.804 1.894 0.001 0.001
25891 103564 22128.823 8.324 1.940 0.003 0.001
25892 103568 22129.902 7.944 1.983 0.002 0.001
25893 103572 22130.884 7.209 1.957 0.002 0.003
25894 103576 22131.852 8.119 2.077 0.005 0.001
25895 103580 22132.884 8.035 1.886 0.002 0.001
25896 103584 22133.647 6.417 2.017 0.002 0.004
25897 103588 22134.415 7.794 1.850 0.002 0.001
25898 103592 22135.148 5.205 1.939 0.002 0.148
25899 103596 22136.037 8.709 2.001 0.003 0.001
25900 103600 22136.807 8.233 1.909 0.006 0.001
25901 103604 22137.526 4.405 1.992 0.030 0.033
25902 103608 22138.138 8.952 2.017 0.017 0.000
25903 103612 22138.735 5.203 1.947 0.002 0.011
25904 103616 22139.283 7.118 2.103 0.011 0.002
25905 103620 22139.905 4.807 2.005 0.005 0.017
25906 103624 22140.615 6.039 1.953 0.007 0.005
25907 103628 22141.312 3.653 1.927 0.003 0.067
25908 103632 22142.114 4.866 1.985 0.009 0.020
25909 103636 22143.020 6.747 1.978 0.005 0.003
25910 103640 22144.111 4.170 2.020 0.011 0.035
25911 103644 22145.130 3.937 1.939 0.005 0.046
25912 103648 22146.306 4.967 1.903 0.006 0.016
25913 103652 22146.991 7.192 1.820 0.012 0.002
25914 103656 22147.517 3.804 1.867 0.014 0.077
25915 103660 22148.109 8.133 1.941 0.005 0.001
25916 103664 22148.921 4.846 1.940 0.025 0.014
25917 103668 22150.049 3.864 1.909 0.009 0.051
25918 103672 22151.376 6.777 2.002 0.008 0.002
25919 103676 22152.511 6.723 2.052 0.015 0.003
25920 103680 22153.857 4.390 1.825 0.005 0.021
25921 103684 22154.783 4.163 1.779 0.008 0.027
25922 103688 22155.590 6.440 1.851 0.006 0.003
25923 103692 22156.260 7.195 1.933 0.009 0.002
25924 103696 22156.783 4.782 1.848 0.007 0.015
25925 103700 22157.343 4.399 1.850 0.020 0.021
25926 103704 22158.071 6.669 1.976 0.005 0.002
25927 103708 22158.806 4.138 1.956 0.007 0.027
25928 103712 22159.856 4.539 1.932 0.014 0.020
25929 103716 22161.497 8.376 1.947 0.005 0.000
25930 103720 22162.663 4.017 1.888 0.010 0.031
25931 103724 22164.516 8.346 1.799 0.010 0.000
25932 103728 22165.556 4.886 1.908 0.005 0.012
25933 103732 22166.456 6.705 2.018 0.004 0.002
25934 103736 22167.319 5.367 1.846 0.004 0.008
25935 103740 22167.959 4.983 2.107 0.008 0.010
25936 103744 22168.703 5.599 1.978 0.004 0.006
25937 103748 22169.361 6.296 1.861 0.008 0.003
25938 103752 22169.905 4.026 1.824 0.011 0.030
25939 103756 22170.382 4.007 1.876 0.008 0.046
25940 103760 22170.814 9.441 1.872 0.006 0.000
25941 103764 22171.256 6.670 1.864 0.008 0.002
25942 103768 22171.718 7.901 1.993 0.014 0.001
25943 103772 22172.431 6.172 1.771 0.010 0.003
25944 103776 22172.976 6.172 1.767 0.005 0.004
25945 103780 22173.675 5.801 2.012 0.013 0.005
25946 103784 22174.306 4.983 1.978 0.004 0.011
25947 103788 22175.021 4.019 1.905 0.005 0.029
25948 103792 22175.784 3.859 1.856 0.004 0.076
25949 103796 22176.567 7.590 1.794 0.008 0.001
25950 103800 22177.374 4.497 1.825 0.028 0.016
25951 103804 22177.989 5.885 1.879 0.010 0.004
25952 103808 22179.045 6.768 1.852 0.011 0.002
25953 103812 22179.938 5.256 1.840 0.009 0.007
25954 103816 22180.938 4.671 1.822 0.011 0.013
25955 103820 22181.711 3.911 1.917 0.004 0.047
25956 103824 22182.530 8.264 1.883 0.005 0.000
25957 103828 22183.186 4.122 1.837 0.019 0.028
25958 103832 22183.873 7.585 1.882 0.008 0.001
25959 103836 22184.844 8.288 1.997 0.011 0.000
25960 103840 22185.533 5.342 2.157 0.009 0.006
25961 103844 22186.365 4.927 1.994 0.005 0.010
25962 103848 22187.054 3.759 2.027 0.015 0.042
25963 103852 22188.054 7.998 1.960 0.005 0.001
25964 103856 22189.562 10.676 1.962 0.005 0.000
25965 103860 22190.679 5.926 2.202 0.013 0.004
25966 103864 22191.493 12.016 1.988 0.010 0.000
25967 103868 22192.211 12.370 2.168 0.011 0.000
25968 103872 22192.573 10.958 1.943 0.005 0.000
25969 103876 22193.055 8.818 1.852 0.002 0.000
25970 103880 22193.582 7.650 1.993 0.007 0.001
25971 103884 22194.618 6.573 1.942 0.011 0.003
25972 103888 22195.941 6.031 1.942 0.007 0.005
25973 103892 22197.382 5.782 1.863 0.002 0.006
25974 103896 22198.527 5.215 1.834 0.002 0.010
25975 103900 22199.412 4.591 1.857 0.002 0.018
25976 103904 22200.276 3.755 1.817 0.004 0.037
25977 103908 22201.007 3.563 2.043 0.003 0.145
25978 103912 22201.788 6.067 1.748 0.012 0.005
25979 103916 22202.665 10.760 2.049 0.005 0.000
25980 103920 22203.593 9.860 2.015 0.002 0.000
25981 103924 22204.312 7.045 2.107 0.017 0.001
25982 103928 22204.997 5.677 2.128 0.018 0.005
25983 103932 22205.773 5.515 1.843 0.004 0.006
25984 103936 22206.414 5.197 2.012 0.008 0.008
25985 103940 22207.104 3.944 1.868 0.006 0.028
25986 103944 22207.845 3.930 1.867 0.009 0.038
25987 103948 22208.832 8.233 1.912 0.024 0.001
25988 103952 22209.965 5.410 1.830 0.006 0.006
25989 103956 22211.114 9.608 1.885 0.004 0.000
25990 103960 22211.818 4.574 1.938 0.006 0.235
25991 103964 22212.453 7.082 1.887 0.087 0.002
25992 103968 22213.073 9.246 1.927 0.026 0.000
25993 103972 22213.754 4.888 1.880 0.019 0.010
25994 103976 22214.264 5.992 2.004 0.013 0.003
25995 103980 22215.004 7.168 1.888 0.005 0.001
25996 103984 22215.671 6.964 1.985 0.008 0.001
25997 103988 22216.915 6.746 2.012 0.031 0.002
25998 103992 22217.983 4.536 1.900 0.020 0.013
25999 103996 22218.824 5.890 1.879 0.013 0.004
26000 104000 22219.527 3.849 1.884 0.003 0.042
26001 104004 22220.183 4.666 1.934 0.008 0.015
26002 104008 22220.867 9.242 1.941 0.005 0.000
26003 104012 22221.437 4.768 1.986 0.005 0.014
26004 104016 22221.990 7.946 1.995 0.005 0.001
26005 104020 22222.614 6.775 1.948 0.011 0.002
26006 104024 22223.151 9.772 1.917 0.004 0.000
26007 104028 22224.370 6.415 1.882 0.006 0.003
26008 104032 22225.281 6.047 1.834 0.003 0.004
26009 104036 22226.122 5.396 1.834 0.003 0.007
26010 104040 22227.051 5.605 1.977 0.003 0.006
26011 104044 22228.271 9.182 1.997 0.003 0.000
26012 104048 22228.976 4.742 1.829 0.008 0.013
26013 104052 22229.675 10.029 2.008 0.002 0.000
26014 104056 22230.785 4.343 1.865 0.008 0.046
26015 104060 22231.922 9.453 1.884 0.009 0.000
26016 104064 22233.052 4.240 1.871 0.012 0.026
26017 104068 22233.921 8.820 1.826 0.009 0.000
26018 104072 22234.768 4.399 2.011 0.012 0.027
26019 104076 22235.603 9.257 1.809 0.005 0.000
26020 104080 22236.378 5.513 1.915 0.013 0.006
26021 104084 22237.089 12.624 2.000 0.006 0.000
26022 104088 22237.668 10.796 1.966 0.013 0.000
26023 104092 22238.644 4.980 2.015 0.015 0.008
26024 104096 22239.615 7.255 1.809 0.004 0.001
26025 104100 22240.466 4.162 1.975 0.010 0.022
26026 104104 22241.205 4.866 1.947 0.003 0.011
26027 104108 22242.056 3.945 1.922 0.010 0.104
26028 104112 22242.779 9.367 1.899 0.008 0.000
26029 104116 22243.759 7.967 1.930 0.042 0.001
26030 104120 22244.875 6.026 1.809 0.008 0.003
26031 104124 22246.013 8.275 1.826 0.007 0.000
26032 104128 22246.914 5.346 1.885 0.012 0.008
26033 104132 22247.773 11.493 1.945 0.035 0.000
26034 104136 22248.434 5.945 1.910 0.010 0.003
26035 104140 22249.033 11.303 1.957 0.007 0.000
26036 104144 22249.713 7.245 1.893 0.003 0.001
26037 104148 22250.196 5.609 1.880 0.002 0.005
26038 104152 22250.667 4.749 1.895 0.001 0.016
26039 104156 22251.194 3.790 1.974 0.004 0.050
26040 104160 22251.945 4.230 1.833 0.006 0.076
26041 104164 22252.832 10.054 1.882 0.007 0.000
26042 104168 22253.710 6.596 1.974 0.011 0.002
26043 104172 22254.670 10.357 1.874 0.011 0.000
26044 104176 22255.596 8.911 1.867 0.007 0.000
26045 104180 22256.394 6.306 1.946 0.012 0.003
26046 104184 22257.247 4.848 1.979 0.013 0.010
26047 104188 22258.149 6.237 2.028 0.005 0.003
26048 104192 22259.111 7.897 1.889 0.008 0.001
26049 104196 22259.822 8.839 2.031 0.006 0.000
26050 104200 22260.421 5.400 2.010 0.004 0.006
26051 104204 22260.892 6.170 1.971 0.004 0.003
26052 104208 22261.354 5.624 1.822 0.008 0.005
26053 104212 22261.831 6.217 1.836 0.006 0.003
26054 104216 22262.410 5.512 1.958 0.005 0.006
26055 104220 22263.072 6.923 2.026 0.003 0.002
26056 104224 22263.668 5.535 1.887 0.005 0.006
26057 104228 22264.318 7.432 1.920 0.005 0.001
26058 104232 22265.324 6.111 1.814 0.003 0.003
26059 104236 22266.157 6.035 1.782 0.010 0.003
26060 104240 22267.135 5.319 2.013 0.003 0.170
26061 104244 22268.072 4.998 1.846 0.047 0.014
26062 104248 22269.265 7.831 1.791 0.027 0.001
26063 104252 22269.853 7.383 1.906 0.016 0.001
26064 104256 22270.495 5.183 2.020 0.034 0.006
26065 104260 22271.275 8.971 1.944 0.009 0.000
26066 104264 22272.041 4.922 1.827 0.006 0.010
26067 104268 22272.914 10.398 1.918 0.003 0.000
26068 104272 22273.862 5.165 1.812 0.011 0.290
26069 104276 22275.107 8.194 1.975 0.083 0.001
26070 104280 22276.214 7.993 1.879 0.098 0.001
26071 104284 22277.607 9.857 1.926 0.009 0.000
26072 104288 22278.548 7.652 1.884 0.017 0.001
26073 104292 22279.546 7.931 1.885 0.013 0.000
26074 104296 22280.492 4.927 1.829 0.025 0.008
26075 104300 22281.616 3.617 1.863 0.004 0.107
26076 104304 22282.547 5.179 1.875 0.014 0.013
26077 104308 22283.324 11.707 1.851 0.011 0.000
26078 104312 22284.043 5.206 1.964 0.058 0.005
26079 104316 22284.683 11.888 1.801 0.007 0.000
26080 104320 22285.606 10.784 1.963 0.003 0.000
26081 104324 22286.253 5.230 1.969 0.004 0.007
26082 104328 22286.775 10.947 1.948 0.005 0.000
26083 104332 22287.253 8.696 1.862 0.013 0.000
26084 104336 22288.055 4.281 1.886 0.003 0.021
26085 104340 22289.068 4.302 1.882 0.005 0.031
26086 104344 22290.050 9.313 1.828 0.004 0.000
26087 104348 22291.132 6.497 2.001 0.003 0.003
26088 104352 22292.435 9.230 1.804 0.011 0.000
26089 104356 22293.760 4.735 1.872 0.001 0.014
26090 104360 22294.693 6.178 1.851 0.006 0.003
26091 104364 22295.457 4.557 1.969 0.009 0.020
26092 104368 22296.111 10.506 1.842 0.003 0.000
26093 104372 22296.621 5.729 1.826 0.005 0.005
26094 104376 22297.332 11.044 1.878 0.003 0.000
26095 104380 22298.240 5.176 1.824 0.006 0.008
26096 104384 22299.175 7.367 1.874 0.012 0.001
26097 104388 22299.865 4.054 1.930 0.008 0.037
26098 104392 22300.525 6.328 1.927 0.014 0.002
26099 104396 22301.305 9.151 1.950 0.011 0.000
26100 104400 22302.172 4.213 1.757 0.005 0.029
26101 104404 22303.122 9.689 1.937 0.009 0.000
26102 104408 22304.194 8.183 1.843 0.024 0.000
26103 104412 22304.940 10.180 1.852 0.004 0.000
26104 104416 22305.857 3.828 1.839 0.005 0.060
26105 104420 22306.644 7.492 1.967 0.011 0.001
26106 104424 22307.690 7.086 1.925 0.011 0.001
26107 104428 22308.882 7.720 1.851 0.007 0.001
26108 104432 22310.267 8.349 1.915 0.015 0.000
26109 104436 22311.061 4.794 1.952 0.002 0.012
26110 104440 22311.956 5.182 1.795 0.007 0.009
26111 104444 22312.903 5.900 1.852 0.004 0.004
26112 104448 22313.637 9.442 1.926 0.007 0.000
26113 104452 22314.345 3.703 1.809 0.022 0.055
26114 104456 22315.161 5.548 1.860 0.012 0.006
26115 104460 22315.864 8.653 1.949 0.005 0.000
26116 104464 22316.484 5.633 1.879 0.014 0.005
26117 104468 22317.351 4.673 1.853 0.006 0.014
26118 104472 22317.901 9.344 1.920 0.008 0.000
26119 104476 22318.426 4.202 1.841 0.002 0.035
26120 104480 22318.939 8.769 1.898 0.004 0.000
26121 104484 22319.845 5.661 1.861 0.006 0.005
26122 104488 22321.176 6.570 1.916 0.004 0.002
26123 104492 22322.193 8.845 1.814 0.009 0.000
26124 104496 22323.245 4.344 1.830 0.009 0.024
26125 104500 22324.175 5.792 1.918 0.016 0.004
26126 104504 22325.148 12.858 1.851 0.006 0.000
26127 104508 22326.159 8.961 1.883 0.005 0.000
26128 104512 22327.017 11.250 1.950 0.004 0.000
26129 104516 22327.635 4.852 1.792 0.005 0.012
26130 104520 22328.155 10.075 1.758 0.013 0.000
26131 104524 22329.182 5.055 1.842 0.017 0.008
26132 104528 22330.084 7.231 1.885 0.025 0.001
26133 104532 22330.874 3.853 1.857 0.003 0.053
26134 104536 22331.899 7.295 1.863 0.003 0.001
26135 104540 22332.849 4.586 1.843 0.005 0.019
26136 104544 22333.771 5.497 1.834 0.005 0.007
26137 104548 22334.974 7.649 1.890 0.009 0.001
26138 104552 22335.916 4.646 1.815 0.006 0.022
26139 104556 22336.905 9.371 1.828 0.013 0.000
26140 104560 22337.774 11.489 1.883 0.009 0.000
26141 104564 22338.662 6.747 1.824 0.005 0.002
26142 104568 22339.271 12.015 1.871 0.004 0.000
26143 104572 22339.966 5.484 1.819 0.009 0.006
26144 104576 22340.588 10.687 1.925 0.003 0.000
26145 104580 22341.052 5.700 1.975 0.002 0.004
26146 104584 22341.602 8.641 1.855 0.004 0.000
26147 104588 22341.991 4.908 1.903 0.005 0.010
26148 104592 22342.428 5.892 1.921 0.003 0.004
26149 104596 22342.844 4.110 1.834 0.003 0.106
26150 104600 22343.269 5.692 1.817 0.029 0.007
26151 104604 22343.849 10.843 1.818 0.011 0.000
26152 104608 22344.618 4.570 1.854 0.055 0.010
26153 104612 22345.837 8.891 1.902 0.024 0.000
26154 104616 22346.664 5.728 1.824 0.002 0.004
26155 104620 22347.548 8.220 1.861 0.004 0.000
26156 104624 22348.622 4.555 1.887 0.001 0.018
26157 104628 22349.673 9.324 1.976 0.003 0.000
26158 104632 22350.582 4.939 1.828 0.008 0.011
26159 104636 22351.237 8.760 1.859 0.005 0.000
26160 104640 22352.023 5.160 1.843 0.003 0.009
26161 104644 22352.800 8.914 1.812 0.004 0.000
26162 104648 22353.520 5.897 1.878 0.002 0.004
26163 104652 22354.136 5.921 1.930 0.006 0.004
26164 104656 22354.956 4.364 1.944 0.004 0.043
26165 104660 22355.643 6.448 1.777 0.004 0.003
26166 104664 22356.395 4.671 1.802 0.007 0.023
26167 104668 22357.197 11.787 1.863 0.008 0.000
26168 104672 22358.159 4.727 1.920 0.014 0.015
26169 104676 22359.052 12.459 1.916 0.006 0.000
26170 104680 22359.978 9.479 1.924 0.007 0.000
26171 104684 22360.944 6.099 1.947 0.003 0.003
26172 104688 22361.517 4.075 1.799 0.002 0.033
26173 104692 22362.301 6.234 1.920 0.018 0.003
26174 104696 22363.252 5.972 1.883 0.055 0.002
26175 104700 22363.943 7.063 1.952 0.006 0.001
26176 104704 22364.672 6.819 1.815 0.007 0.001
26177 104708 22365.823 9.456 1.773 0.006 0.000
26178 104712 22366.729 4.070 2.028 0.001 0.200
26179 104716 22367.813 8.319 1.927 0.003 0.001
26180 104720 22368.547 6.181 1.837 0.025 0.004
26181 104724 22369.351 4.166 1.856 0.168 0.004
26182 104728 22370.096 4.778 1.910 0.003 0.009
